commons_assertion_id,commons_image_id,commons_page_url,date_iso,date_precision,place,region,country,country_code,latitude,longitude,matched_formation_id,match_status,match_method,match_distance_km,candidate_count,overlay_readiness,provenance_note
commons_assertion_10ee188ffc5776cf,commons_img_17de8083657888ff,https://commons.wikimedia.org/wiki/File:Pica_v_poli.jpg,2008-06-05,day,,,Czechia,CZ,50.01957111,14.49581111,,no_defensible_existing_formation_match,,,0,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_3dc17443465fe425,commons_img_1c5001b6b98935bf,https://commons.wikimedia.org/wiki/File:Dentro_cerchio-Ancona.jpg,2007-05-23,day,Ancona,Marche,Italy,IT,,,cc_ca4716854863,ambiguous_place_and_year_candidate,place_and_year_candidate,,2,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_b5405a0b33667ce5,commons_img_1c5001b6b98935bf,https://commons.wikimedia.org/wiki/File:Dentro_cerchio-Ancona.jpg,2007-05-23,day,Ancona,Marche,Italy,IT,,,cc_f8bf56ebce76,ambiguous_place_and_year_candidate,place_and_year_candidate,,2,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_a08772816ec72c34,commons_img_1cbd27310a8f4eee,"https://commons.wikimedia.org/wiki/File:Downland,_Alton_Barnes_-_geograph.org.uk_-_844715.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3727,-1.847,cc_4f4202e2eb60,ambiguous_place_and_year_candidate,place_and_year_candidate,65.583,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_997cbca4a4c811b6,commons_img_1cbd27310a8f4eee,"https://commons.wikimedia.org/wiki/File:Downland,_Alton_Barnes_-_geograph.org.uk_-_844715.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3727,-1.847,cc_7b5b4cc166f9,ambiguous_place_and_year_candidate,place_and_year_candidate,65.583,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_ba716e495133e5c5,commons_img_1cbd27310a8f4eee,"https://commons.wikimedia.org/wiki/File:Downland,_Alton_Barnes_-_geograph.org.uk_-_844715.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3727,-1.847,cc_c17dfd94d450,ambiguous_place_and_year_candidate,place_and_year_candidate,65.583,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_767b65667d4d3e12,commons_img_1cbd27310a8f4eee,"https://commons.wikimedia.org/wiki/File:Downland,_Alton_Barnes_-_geograph.org.uk_-_844715.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3727,-1.847,cc_f023de496be2,ambiguous_place_and_year_candidate,place_and_year_candidate,65.583,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_77bd05064d2402a8,commons_img_1dfd99f84c449652,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-44-20.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.686525,8.72187222,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,2.093,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_7aaefd3383722f87,commons_img_35dd2f9193bef934,https://commons.wikimedia.org/wiki/File:Cerchio_grano-Ancona.jpg,2007-05-23,day,Ancona,Marche,Italy,IT,,,cc_ca4716854863,ambiguous_place_and_year_candidate,place_and_year_candidate,,2,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_18962a3c3932f560,commons_img_35dd2f9193bef934,https://commons.wikimedia.org/wiki/File:Cerchio_grano-Ancona.jpg,2007-05-23,day,Ancona,Marche,Italy,IT,,,cc_f8bf56ebce76,ambiguous_place_and_year_candidate,place_and_year_candidate,,2,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_b32e9bd83d8c1b89,commons_img_382ea9088fab5529,https://commons.wikimedia.org/wiki/File:Crop_Circle_below_Steep_Down._-_geograph.org.uk_-_176105.jpg,2003,year,Steep Down,West Sussex,United Kingdom,GB,50.8575,-0.341,,no_defensible_existing_formation_match,,,0,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
