site_candidate_id,source_id,source_name,assertion_id,formation_id,date_iso,place,region,country,country_code,latitude,longitude,coordinate_method,coordinate_reference_text,coordinate_uncertainty_m,coordinate_source_url,source_record_url,source_page_sha256,source_page_http_status,source_page_fetch_policy,linked_image_count,rights_status,embedding_allowed,review_status
gsite_e93f1b5bdc1e794fafea,connector,Crop Circle Connector,sx_connector_92696dac29914104,cc_7a15465c645b,2016-10-21,Campo de Trigo,Santa Fe,Argentina,AR,-29.36152778,-59.99941667,google_maps_dms_target,DMS target embedded in map URL,25,"https://www.google.com.au/maps/place/29Â°21'41.5%22S+59Â°59'57.9%22W/@-29.361527,-60.0016027,977m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d-29.361527!4d-59.999414",https://cropcircleconnector.com/2016/campo/campo2016a.html,9d866eec557d30090e48eabcb967a88400e9ed9d637e19ea8164f0286905d201,200,live_html_source_invalid_chain_bypass_no_pixels,6,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
gsite_91f5f1b578c3f679ae47,connector,Crop Circle Connector,sx_connector_2abd9b46b2c17f03,cc_c393cee1489c,2014-07,Hofer Roundabout,Lower Austria,Austria,AT,48.60180556,15.19172222,google_maps_dms_target,DMS target embedded in map URL,25,"https://www.google.co.uk/maps/place/48°36'06.5%22N+15°11'30.2%22E/@48.6018154,15.191735,2922m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0",https://cropcircleconnector.com/2014/Hofer/Hofer2014a.html,31ce7ddf61b03a6f147912505214ddfb9d142b117ac4cc29a76e36c490af57f4,200,live_html_source_invalid_chain_bypass_no_pixels,13,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
gsite_094f8c251a02a5be8fc8,connector,Crop Circle Connector,sx_connector_0d730b39ef47d41e,cc_a2b0b0a85c0f,2014-07-25,Momalle,,Belgium,BE,50.67822500,5.35337778,google_maps_dms_target,DMS target embedded in map URL,25,"https://maps.google.co.uk/maps?q=50°40'41.61""+N+5°21'12.16""+E&hl=en&ie=UTF8&ll=50.678187,5.353432&spn=0.04536,0.111151&sll=51.468489,-2.590709&sspn=0.356737,0.889206&t=h&z=14",https://cropcircleconnector.com/2014/Momalle/Momalle2014a.html,1e04ae57cc96c0bc11f336b56d68fce38df1d2908d72f5c2e6dbcefdc721468f,200,live_html_source_invalid_chain_bypass_no_pixels,3,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
gsite_38b8aac0095e49b8368e,connector,Crop Circle Connector,sx_connector_2886aa9284e1a0c6,cc_f57d09d334a8,2015-10-07,Prudentópolis,Southern Brazil,Brazil,BR,-25.23291667,-50.98297222,google_maps_dms_target,DMS target embedded in map URL,25,"https://www.google.co.uk/maps/place/25°13'58.5%22S+50°58'58.7%22W/@-25.2329261,-50.9851507,979m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0",https://cropcircleconnector.com/2015/Prudentopolis/Prudentopolis2015a.html,57ae2f69a1a61f63aabb3062ae746e3efecb998721489f464e04e1b163c86337,200,live_html_source_invalid_chain_bypass_no_pixels,7,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
gsite_55117ba80d9392bd257c,connector,Crop Circle Connector,sx_connector_aba5c4d6248158cd,cc_88724349f89b,2016-09-27,Prudentópolis,Paraná,Brazil,BR,-25.16700000,-51.00100000,google_maps_dms_target,DMS target embedded in map URL,25,"https://www.google.co.uk/maps/place/25Â°10'01.2%22S+51Â°00'03.6%22W/@-25.1659309,-51.0059288,2556m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d-25.167!4d-51.001",https://cropcircleconnector.com/2016/Prudentopolis/Prudentopolis2016.html,c9bf0f4a4927eb5b08b38f37d36a5ac41f0b9e3488c3dffc8da38c1a19909318,200,live_html_source_invalid_chain_bypass_no_pixels,3,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
gsite_96c83adf971c2042ceae,connector,Crop Circle Connector,sx_connector_b6ade6c0776cabb0,cc_505bca9cb9a3,2016-11-05,Ipuacu,,Brazil,BR,-26.61904880,-52.45235800,google_maps_satellite_view_center,Google Maps view center at 1003m,250,"https://www.google.com.au/maps/@-26.6190488,-52.452358,1003m/data=!3m1!1e3",https://cropcircleconnector.com/2016/Ipuacu/Ipuacu2016.html,c4e195c934c8a71d5eee8f311e6e98f2b0c29a3f858241bbb4ea4ebe3155bbb4,200,live_html_source_invalid_chain_bypass_no_pixels,6,metadata_only_contributor_image_rights_retained,false,source_map_view_center_not_landmark_validated
gsite_0f9c3f7ccf2f8209f6ec,connector,Crop Circle Connector,sx_connector_e84f3ddbccf0882b,cc_0504c86630e5,2017-11-03,Linha Bela Vista,interior of São Lourenço do Oeste,Brazil,BR,-26.66042680,-53.53506100,google_maps_satellite_view_center,Google Maps view center at 274m,68,"https://www.google.co.uk/maps/@-26.6604268,-53.535061,274m/data=!3m1!1e3",https://cropcircleconnector.com/2017/Linha/Linha2016a.html,a422ddcef002579411f897db1a38661cd24f965b7e41537aa5999ac4755245e8,200,live_html_source_invalid_chain_bypass_no_pixels,3,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
gsite_9d8e131613f2e00e7efb,connector,Crop Circle Connector,sx_connector_e4312ba4a601cddc,cc_8e59dc6f50d7,2018-08-03,Jesuino Marcondes,Southern Brazil,Brazil,BR,-25.30416667,-51.01355556,google_maps_dms_target,DMS target embedded in map URL,25,"https://www.google.co.uk/maps/place/25Â°18'15.0%22S+51Â°00'48.8%22W/@-25.304179,-51.0143588,379m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d-25.3041785!4d-51.013562",https://cropcircleconnector.com/2018/Jesuino/Jesuino2018a.html,996a4f2063b05a1624b451e81e2647a02b272e36ec6b8881b3d693256e22ba79,200,live_html_source_invalid_chain_bypass_no_pixels,10,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
gsite_f3e72d95fc94c919349e,connector,Crop Circle Connector,sx_connector_75085d4ab870112d,cc_6bd5e40a472e,2018-08-14,Pirai do Sul,,Brazil,BR,-24.53924760,-49.94097750,google_maps_place_target,Google Maps place target,25,"https://www.google.co.uk/maps/place/PiraÃ­+do+Sul+-+State+of+ParanÃ¡,+84240-000,+Brazil/@-24.524919,-49.9631466,1343m/data=!3m1!1e3!4m5!3m4!1s0x94c27a87c10c524d:0x19df4447262994a4!8m2!3d-24.5392476!4d-49.9409775",https://cropcircleconnector.com/2018/PiraidoSul/PiraidoSul2018a.html,96249d2ed6f8caf7625a61fac6acd3df07b2dda08c77ae636e1dc0b5debd2a9e,200,live_html_source_invalid_chain_bypass_no_pixels,4,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
gsite_e901bf8f0e60466ccee8,connector,Crop Circle Connector,sx_connector_70f28936da210e33,cc_c09990209f4c,2020-10-28,Ipuaçu,Santa Catarina,Brazil,BR,-26.62944444,-52.38722222,google_maps_dms_target,DMS target embedded in map URL,25,"https://www.google.co.uk/maps/place/26°37'46.0%22S+52°23'14.0%22W/@-26.629431,-52.3893997,953m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d-26.629431!4d-52.387211",https://cropcircleconnector.com/2020/Ipuacu/Ipuacu2020a.html,9061ac920d7a36f0c965b162d1b6ec5b0e77342b0183fa4ca4929a4e4872bc00,200,live_html_source_invalid_chain_bypass_no_pixels,9,metadata_only_contributor_image_rights_retained,false,source_exact_coordinate_clue_not_landmark_validated
