assertion_id,source_name,source_url,source_record_url,retrieved_at,source_page,source_slot,year,month,day,date_iso,date_precision,date_qualifier,place,region,country,country_code,county,crop,size_text,classification,thumbnail_url,notes,index_kinds,index_urls,index_labels,index_occurrence_count,record_url_aliases,detail_http_status,detail_sha256,detail_cache_path,detail_title,latitude,longitude,has_actual_coordinate_pair,coordinate_method,coordinate_uncertainty,coordinate_uncertainty_km,coordinate_confidence,coordinate_source_url,coordinate_evidence,coordinate_context,orientation_evidence,rights_evidence,image_count,image_urls,map_diagram_urls
iccra_a7e7b2b9f0e2e36f,ICCRA,https://iccra.org/byyear/usaformations-byyear.htm,https://iccra.org/byyear/ICCRA_1847_Schoolcraft.html,2026-07-21T07:17:37Z,,12,1847,,,1847,year,,General area of the Midwestern USA,,United States,US,,,,unreviewed,https://iccra.org/byyear/Images/schoolcraft.jpg,"ICCRA index labels: 1847 - General area of the Midwestern USA; rights evidence: ""Celestial Sisters"" The United States Magazine and Democratic Review (May 1851) ""The Magic Circle in the Prairie"" , Schoolcraft, p. 434-435 Page last updated on September 4, 2008 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_year_direct,https://iccra.org/byyear/usaformations-byyear.htm,1847 - General area of the Midwestern USA,1,https://iccra.org/byyear/ICCRA_1847_Schoolcraft.html,200,f9a95c0725ae0490a84ed8881370f14ee0da553cf8eaea1bb32f506aa8298e3c,data/raw/iccra_full/objects/6cd32d75bae6d01c24e1008bf135a5b5e3ac5ca3cae7f1749b8ff1989e548137.html,ICCRA - Reported Crop Circles from 1847 - General area of the Midwestern USA,,,False,,,,,,,,,"""Celestial Sisters"" The United States Magazine and Democratic Review (May 1851) ""The Magic Circle in the Prairie"" , Schoolcraft, p. 434-435 Page last updated on September 4, 2008 © 2008 ICCRA - Jeffrey & Delsey Wilson",1,https://iccra.org/byyear/Images/schoolcraft.jpg,
iccra_0f01d80480b86821,ICCRA,https://iccra.org/bystate/Iowa/ICCRA_IA.htm,https://iccra.org/bystate/Iowa/ICCRA_Oskaloosa_Mahaska_Iowa(1883).html,2026-07-21T07:17:37Z,,1,1883,,,1883,year,,Oskaloosa,Iowa,United States,US,Mahaska County,,,unreviewed,,"ICCRA index labels: Oskaloosa, Mahaska County, Iowa (1883) | Oskaloosa, Mahaska County (1883); rights evidence: t 9, 2002) St. Ansgar, Mitchell County (October, 2003) Eagle Grove, Humboldt County (July 3, 2004) Charles City, Floyd County (August 8, 2004) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/Iowa/ICCRA_IA.htm;https://iccra.org/byyear/usaformations-byyear.htm,"Oskaloosa, Mahaska County, Iowa (1883) | Oskaloosa, Mahaska County (1883)",2,https://iccra.org/bystate/Iowa/ICCRA_Oskaloosa_Mahaska_Iowa(1883).html;https://iccra.org/byyear/ICCRA_1883_Oskaloosa_Mahaska_Iowa.html,200,625aa115e066c832cb6b8b173185c9b37632b5fad60a755b9cd225a6902e924c,data/raw/iccra_full/objects/cb388f9a6d246f02fa1fe77e6324c31586559507ffdf376f263fa9da2cd2b442.html,"ICCRA - Iowa - Oskaloosa, Mahaska County (1883)",,,False,,,,,,,,,"t 9, 2002) St. Ansgar, Mitchell County (October, 2003) Eagle Grove, Humboldt County (July 3, 2004) Charles City, Floyd County (August 8, 2004) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",0,,
iccra_7d234cf856572c63,ICCRA,https://iccra.org/bystate/Minnesota/ICCRA_MN.htm,"https://iccra.org/bystate/Minnesota/ICCRA%20-%20MN%20-%20Green%20Lake,%20Kandiyohi%20County%20(May-Jun1909).htm",2026-07-21T07:17:37Z,,1,1909,5,,1909-05,month,,1909 | Green Lake,,United States,US,Kandiyohi County,,,unreviewed,https://iccra.org/bystate/Minnesota/images/image026.jpg,"ICCRA index labels: 1909 | Green Lake, Kandiyohi County (May-Jun1909) | Green Lake, Kandiyohi County (May-Jun1909); rights evidence: 002) Litchfield, Meeker County (July 4, 2004) Cottage Grove, Washington County (July 24, 2004) Lake Elmo, Washington County (October 18, 2004) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/Minnesota/ICCRA_MN.htm;https://iccra.org/byyear/usaformations-byyear.htm,"1909 | Green Lake, Kandiyohi County (May-Jun1909) | Green Lake, Kandiyohi County (May-Jun1909)",2,"https://iccra.org/bystate/Minnesota/ICCRA%20-%20MN%20-%20Green%20Lake,%20Kandiyohi%20County%20(May-Jun1909).htm",200,c8bde322cca205757abac6ccf9122ac3fce118a0927173f89ba2ff2248d03b7e,data/raw/iccra_full/objects/2a1b1dc78830c52aa03e9f3c103132e79e8ca07b5d92b650886107857dd00e9a.htm,"ICCRA - Minnesota - Green Lake, Kandiyohi County (May-June 1909)",,,False,,,,,,,,,"002) Litchfield, Meeker County (July 4, 2004) Cottage Grove, Washington County (July 24, 2004) Lake Elmo, Washington County (October 18, 2004) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",1,https://iccra.org/bystate/Minnesota/images/image026.jpg,
iccra_5d2b81766fe074b1,ICCRA,https://iccra.org/bystate/North%20Carolina/ICCRA_NC.htm,https://iccra.org/bystate/North%20Carolina/ICCRA%20-%20NC%20-%20Unknown%20(Nov%201919).htm,2026-07-21T07:17:37Z,,1,1919,11,,1919-11,month,,1919 | Unknown,North Carolina,United States,US,,,,unreviewed,,"ICCRA index labels: 1919 | Unknown, NC (Nov 1919) | Unknown, NC (Nov 1919); rights evidence: ty (June 21, 2005) Burnsville, Yancey County (July 2, 2005) Leicester, Buncombe County (July 5, 2005) Mars Hill, Madison County (July 9, 2005) Page last updated on August 18, 2015 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/North%20Carolina/ICCRA_NC.htm;https://iccra.org/byyear/usaformations-byyear.htm,"1919 | Unknown, NC (Nov 1919) | Unknown, NC (Nov 1919)",2,https://iccra.org/bystate/North%20Carolina/ICCRA%20-%20NC%20-%20Unknown%20(Nov%201919).htm,200,c15fbc9d97ba8230b3e23233d2aa7cbf0abbc4f2c5264c040da4d3220b3caa2d,data/raw/iccra_full/objects/10fbc5860da42be645a405fac2bc8afda123dab9cb3d158bc228b8d8e7e42503.htm,ICCRA - NC - Unknown Area (November 1919),,,False,,,,,,,,,"ty (June 21, 2005) Burnsville, Yancey County (July 2, 2005) Leicester, Buncombe County (July 5, 2005) Mars Hill, Madison County (July 9, 2005) Page last updated on August 18, 2015 © 2008 ICCRA - Jeffrey & Delsey Wilson",0,,
iccra_300629fd2212265e,ICCRA,https://iccra.org/bystate/Iowa/ICCRA_IA.htm,"https://iccra.org/bystate/Iowa/ICCRA%20-%20Iowa%20-%20Mt%20Pleasant,%20Henry%20County%20(June%203%201920).htm",2026-07-21T07:17:37Z,,2,1920,6,3,1920-06-03,day,,Mount Pleasant,Iowa,United States,US,Henry County,,,unreviewed,,"ICCRA index labels: 1920 | Mount Pleasant, Henry County (June 3, 1920) | Mount Pleasant, Henry County (June 3, 1920); rights evidence: t 9, 2002) St. Ansgar, Mitchell County (October, 2003) Eagle Grove, Humboldt County (July 3, 2004) Charles City, Floyd County (August 8, 2004) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/Iowa/ICCRA_IA.htm;https://iccra.org/byyear/usaformations-byyear.htm,"1920 | Mount Pleasant, Henry County (June 3, 1920) | Mount Pleasant, Henry County (June 3, 1920)",2,"https://iccra.org/bystate/Iowa/ICCRA%20-%20Iowa%20-%20Mt%20Pleasant,%20Henry%20County%20(June%203%201920).htm",200,540d243d368acd996bf0e7e50f565234e29022908dc9be6b8ca0257deab4d77b,data/raw/iccra_full/objects/ef6cea2ee1b375aaa82581a639ae656cf80f6ace82affc5d9a5237a9331a7e17.htm,"ICCRA - Iowa - Mount Pleasant, Henry County (June 3, 1920)",,,False,,,,,,,,,"t 9, 2002) St. Ansgar, Mitchell County (October, 2003) Eagle Grove, Humboldt County (July 3, 2004) Charles City, Floyd County (August 8, 2004) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",0,,
iccra_dc06c2585e9e9ab7,ICCRA,https://iccra.org/bystate/New%20York/ICCRA_NY.htm,https://iccra.org/bystate/New%20York/ICCRA%20-%20NY%20-%20Unknown%20(1927).htm,2026-07-21T07:17:37Z,,1,1927,,,1927,year,,[unknown] (1927?) | 1927 | 1972 - [Unknown],New York,United States,US,,,,unreviewed,https://iccra.org/bystate/New%20York/images/ny1927-1.jpg,"ICCRA index labels: [unknown] (1927?) | 1927 | 1972 - [Unknown], NY | [unknown] (1927?); rights evidence: 9, 2002) Saratoga Springs, Saratoga County (June 12, 2003) Canisteo, Steuben County (August 12, 2005) Mendon, Monroe County (October 14, 2005) Page last updated on August 18, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/New%20York/ICCRA_NY.htm;https://iccra.org/byyear/usaformations-byyear.htm,"[unknown] (1927?) | 1927 | 1972 - [Unknown], NY | [unknown] (1927?)",2,https://iccra.org/bystate/New%20York/ICCRA%20-%20NY%20-%20Unknown%20(1927).htm,200,4ad541781865bcc2e8a84410bb2953816e656d3b8171b8f153fb68efbdd0f4ca,data/raw/iccra_full/objects/c6dae34dc9d0e203eb811e849f6cba05fd96e8cf803a7ce39757add0043c14db.htm,ICCRA - NY - [unknown] (1927?),,,False,,,,,,,,,"9, 2002) Saratoga Springs, Saratoga County (June 12, 2003) Canisteo, Steuben County (August 12, 2005) Mendon, Monroe County (October 14, 2005) Page last updated on August 18, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",2,https://iccra.org/bystate/New%20York/images/ny1927-1.jpg;https://iccra.org/bystate/New%20York/images/ny1927-2.jpg,
iccra_bc14d9f11f33d6be,ICCRA,https://iccra.org/bystate/Michigan/ICCRA_MI.htm,"https://iccra.org/bystate/Michigan/ICCRA%20-%20MI%20-%20Manchester,%20Washtenaw%20County%20(1932).htm",2026-07-21T07:17:37Z,,1,1932,,,1932,year,,Manchester,Michigan,United States,US,Washtenaw County,,,unreviewed,,"ICCRA index labels: 1932 | July 24, 1965 - Escanaba, Delta County, MI | Manchester, Washtenaw County (1932) | Manchester, Washtenaw County (1932); rights evidence: 006) Howell, Livingston County (October 14, 2006) Amasa, Iron County (December, 2006) New Haven Township, Shiawassee County (October 19, 2007) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/Michigan/ICCRA_MI.htm;https://iccra.org/byyear/usaformations-byyear.htm,"1932 | July 24, 1965 - Escanaba, Delta County, MI | Manchester, Washtenaw County (1932) | Manchester, Washtenaw County (1932)",2,"https://iccra.org/bystate/Michigan/ICCRA%20-%20MI%20-%20Manchester,%20Washtenaw%20County%20(1932).htm",200,1ede2c2992aa4bd2b29ff4058d1ccdc9ebfcd008212a6d099645af776472a522,data/raw/iccra_full/objects/dc836eccec7fd97dcf901a0b051f2f45bbea1a40d492b40cd6e9fc8a3c5b2e7b.htm,"ICCRA - Michigan - Manchester, Washtenaw County (1932)",,,False,,,,,,,,,"006) Howell, Livingston County (October 14, 2006) Amasa, Iron County (December, 2006) New Haven Township, Shiawassee County (October 19, 2007) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",0,,
iccra_afd4fdb5be886a6c,ICCRA,https://iccra.org/bystate/Missouri/ICCRA_MO.htm,https://iccra.org/bystate/Missouri/ICCRA%20-%20MO%20-%20Unknown%20(1935).htm,2026-07-21T07:17:57Z,,1,1935,,,1935,year,,[Unknown],Missouri,United States,US,,,,unreviewed,,"ICCRA index labels: [Unknown] (1935) | 1935 | [Unknown] (1935); rights evidence: ettis County (June 15, 2004) Eureka Springs / Branson / Ozark, Carroll County (August 16, 2004) St. Joseph, Buchanan County (October 14, 2005) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/Missouri/ICCRA_MO.htm;https://iccra.org/byyear/usaformations-byyear.htm,[Unknown] (1935) | 1935 | [Unknown] (1935),2,https://iccra.org/bystate/Missouri/ICCRA%20-%20MO%20-%20Unknown%20(1935).htm,200,94a8aa55b1d9f3c6ba158a6d9a3a4b06cabd122f7b8ffea62202533c5bc6cb26,data/raw/iccra_full/objects/e26619a760923f880477b93e4e0f8dde679fd479129cff8aa3ef96e74ea9ba54.htm,ICCRA - MO - [unknown] (1935),,,False,,,,,,,,,"ettis County (June 15, 2004) Eureka Springs / Branson / Ozark, Carroll County (August 16, 2004) St. Joseph, Buchanan County (October 14, 2005) Page last updated on August 17, 2011 © 2008 ICCRA - Jeffrey & Delsey Wilson",0,,
iccra_9b1e8fcbcc016358,ICCRA,https://iccra.org/bystate/Ohio/ICCRA_Ohio.htm,https://iccra.org/bystate/Ohio/ICCRA_Middletown_1941.html,2026-07-21T07:17:37Z,,1,1941,,,1941,year,,Middletown,Ohio,United States,US,Butler County,,,unreviewed,,"ICCRA index labels: 1941 | Middletown, Butler County (1941) | Middletown, Butler County (1941); rights evidence: September 1, 2007) Moscow, Clermont County (June 6, 2010) Owensville, Clermont County (June 24, 2010) Chillicothe, Ross County (Mid Sept 2012) Page last updated on October 7, 2014 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/Ohio/ICCRA_Ohio.htm;https://iccra.org/byyear/usaformations-byyear.htm,"1941 | Middletown, Butler County (1941) | Middletown, Butler County (1941)",2,https://iccra.org/bystate/Ohio/ICCRA_Middletown_1941.html,200,655468cf7a9a5b9cd26d5f2d4df04d203a8fc547bb9b8d928ad3c260ecec1161,data/raw/iccra_full/objects/d72a7209678dbdbe0563aa998875fb3b0e7bad6b7d0d9ca915dddb9f511dd893.html,"ICCRA - Ohio - Middletown, Butler County (1941)",,,False,,,,,,,,,"September 1, 2007) Moscow, Clermont County (June 6, 2010) Owensville, Clermont County (June 24, 2010) Chillicothe, Ross County (Mid Sept 2012) Page last updated on October 7, 2014 © 2008 ICCRA - Jeffrey & Delsey Wilson",0,,
iccra_a2fff5c822f4d390,ICCRA,https://iccra.org/bystate/Washington/ICCRA_WA.htm,"https://iccra.org/bystate/Washington/ICCRA%20-%20WA%20-%20Sacajawea-Pasco,%20Cowlitz%20County%20(1945).htm",2026-07-21T07:17:37Z,,1,1945,,,1945,year,,Sacajawea / Pasco,Washington,United States,US,Cowlitz County,,,unreviewed,,"ICCRA index labels: 1945 | Sacajawea / Pasco, Cowlitz County (1945) | Sacajawea / Pasco, Cowlitz County (1945); rights evidence: mish County (Fall, 2003) St. John, Whitman County (July, 2004) Wilbur, Lincoln County (June 27, 2007) Wilbur, Lincoln County (July 23, 2009) Page last updated on February 10, 2012 © 2008 ICCRA - Jeffrey & Delsey Wilson",by_state_page;by_year_direct,https://iccra.org/bystate/Washington/ICCRA_WA.htm;https://iccra.org/byyear/usaformations-byyear.htm,"1945 | Sacajawea / Pasco, Cowlitz County (1945) | Sacajawea / Pasco, Cowlitz County (1945)",2,"https://iccra.org/bystate/Washington/ICCRA%20-%20WA%20-%20Sacajawea-Pasco,%20Cowlitz%20County%20(1945).htm",200,2832045696de8ce906855eb531cf71f4753b635f7b867f4b7c07868739d9e1d7,data/raw/iccra_full/objects/7927d5a52b635bee31ae1f11d9e689c2a5ca02059a926d344b1a05745310ca51.htm,"ICCRA - Ohio - Carolton (now Carrolton / Center Township), Carrol County (1960)",,,False,,,,,,,,,"mish County (Fall, 2003) St. John, Whitman County (July, 2004) Wilbur, Lincoln County (June 27, 2007) Wilbur, Lincoln County (July 23, 2009) Page last updated on February 10, 2012 © 2008 ICCRA - Jeffrey & Delsey Wilson",0,,
