candidate_id,image_link_id,assertion_ids,source_page_url,image_url,image_sha256,image_kind,inventory_http_status,public_redistribution_status,analysis_status,analysis_width_px,analysis_height_px,analysis_scale_factor,detector_score,straight_component_tier,straight_component_candidate,dominant_axis_image_deg,axis_uncertainty_deg,axis_candidates_image_deg,raw_line_segment_count,qualifying_line_segment_count,border_segment_rejection_count,dominant_cluster_segment_count,max_segment_length_px,max_segment_length_normalized,dominant_support_length_px,dominant_support_normalized,dominant_support_fraction,qualifying_lines_per_megapixel,axis_reference,geographic_azimuth_qualified,detector_version,rights_safe_output,caveat
isc_334ad9cd3d42ee67,iccra_img_0f89ffe1ed83e02a,,https://iccra.org/bystate/Alabama/ICCRA_AL.htm,https://iccra.org/bystate/Alabama/images/Crop%20Circles%20Map%20of%20Alabama%209.5.2015.JPG,2ad5645e681f97757cc4db991dbfbc2fb21420854f103f69f390254f844c197c,map_or_aerial,200,not_cleared,analyzed_private_cache,434,661,1.000000,0.750,medium,yes_review_candidate,0.4,0.5,0.4;97.1,877,20,6,5,205.0,0.472,498.8,1.149,0.422,69.717,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_6c54f81a0ccd922b,iccra_img_ad83438610e8cc3b,,https://iccra.org/bystate/Alabama/ICCRA_AL.htm,https://iccra.org/bystate/Michigan/images/map_key.jpg,c28b14676c190c476e3dd0ab369bdd73add30e7ef6d9069876a0bb3931251ac8,map_or_aerial,200,not_cleared,analyzed_private_cache,128,45,1.000000,0.840,high,yes_review_candidate,179.6,0.8,179.6,39,13,1,12,48.8,1.084,290.6,6.457,0.966,1300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_863fae0e725e322d,iccra_img_1e70674005f72064,,https://iccra.org/bystate/Alabama/ICCRA_AL.htm,https://iccra.org/bystate/Ohio/images/miamisburg.JPG,00916643ba5ad32a263adbfd6a2a106053a2bd60037010aa38b887fb53713b2e,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,79,114,1.000000,0.353,none,no_review_candidate,128.0,3.2,128.0;92.9;32.9;151.8,45,23,0,3,25.5,0.323,55.1,0.697,0.146,2300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_15306b1bb8b107aa,iccra_img_4f804dfcff35df29,iccra_3a4afbb7bf258666,"https://iccra.org/bystate/Alaska/ICCRA%20-%20AK%20-%20Eagle-Southeast%20Fairbanks%20Borough%20(County)%20(Summer,%201977).htm",https://iccra.org/bystate/Alaska/images/Eagle-Southeast%20Fairbanks%20Borough.jpg,a229cbbe5a28df3cf52edb1fa8c44865d98cb2197b4509f6b78d545b765f0129,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,253,329,1.000000,0.645,low,yes_review_candidate,0.1,0.9,0.1;126.4;163.8;94.4,234,64,0,26,55.5,0.219,766.7,3.031,0.426,768.889,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_596e3ee5d2178a4c,iccra_img_4b0f3ce9e0debf81,,https://iccra.org/bystate/Alaska/ICCRA_AK.htm,https://iccra.org/bystate/Michigan/images/map_key.jpg,c28b14676c190c476e3dd0ab369bdd73add30e7ef6d9069876a0bb3931251ac8,map_or_aerial,200,not_cleared,analyzed_private_cache,128,45,1.000000,0.840,high,yes_review_candidate,179.6,0.8,179.6,39,13,1,12,48.8,1.084,290.6,6.457,0.966,1300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_6832f360503972af,iccra_img_e4be6b351d240865,,https://iccra.org/bystate/Alaska/ICCRA_AK.htm,https://iccra.org/bystate/Ohio/images/miamisburg.JPG,00916643ba5ad32a263adbfd6a2a106053a2bd60037010aa38b887fb53713b2e,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,79,114,1.000000,0.353,none,no_review_candidate,128.0,3.2,128.0;92.9;32.9;151.8,45,23,0,3,25.5,0.323,55.1,0.697,0.146,2300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_a4dad9198ee2341f,iccra_img_2ff982ffea9e059b,iccra_5aa3c852e7377dfa,"https://iccra.org/bystate/Arizona/ICCRA%20-%20AZ%20-%20Chino%20Valley,%20Yavapai%20County%20(May%2017,%201992).htm",https://iccra.org/bystate/Arizona/images/Chino%20Valley1992a.jpg,d14eb90483eaad094f66f1b91e7fd0c64a9b72f4e2c180a47839f9b3b87272e1,diagram,200,not_cleared,analyzed_private_cache,129,105,1.000000,0.409,none,no_review_candidate,23.1,2.7,23.1;92.0;157.0;145.2,24,21,0,4,35.0,0.334,74.6,0.710,0.192,1550.388,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_5681931d29890816,iccra_img_a26dc9aecd6de562,iccra_5aa3c852e7377dfa,"https://iccra.org/bystate/Arizona/ICCRA%20-%20AZ%20-%20Chino%20Valley,%20Yavapai%20County%20(May%2017,%201992).htm",https://iccra.org/bystate/Arizona/images/Chino%20Valley1992b.jpg,afdad0b6c3b745c7d434a47e6f7af6900fc51c48a646c82de5f2b9ab586e5ee4,diagram,200,not_cleared,analyzed_private_cache,129,97,1.000000,0.775,high,yes_review_candidate,89.4,3.3,89.4;180.0;153.3;30.6,25,20,0,5,53.8,0.554,167.7,1.729,0.346,1598.338,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_f3e7605c9bdd91e6,iccra_img_0cc8af3cad904bc7,iccra_5aa3c852e7377dfa,"https://iccra.org/bystate/Arizona/ICCRA%20-%20AZ%20-%20Chino%20Valley,%20Yavapai%20County%20(May%2017,%201992).htm",https://iccra.org/bystate/Arizona/images/Chino%20Valley1992c.jpg,c0933475102fbe96313095b2f2107544d960ba6a2d2ae34654f7187d2df98fd6,diagram,200,not_cleared,analyzed_private_cache,129,104,1.000000,0.281,none,no_review_candidate,21.2,3.4,21.2;63.7;155.3;125.1,20,18,0,3,23.5,0.226,55.1,0.530,0.193,1341.682,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_726aa00bb9e356f6,iccra_img_5e00c897bb2c4df9,iccra_02f5c3c1c50f3b35,"https://iccra.org/bystate/Arizona/ICCRA%20-%20AZ%20-%20Tolleson,%20Maricopa%20County%20(May%2018,%202005).html",https://iccra.org/bystate/Arizona/images/tolleson2005a.jpg,a9e3e1174118ed16088ae32bb8776068ed89cf0c6d55ca06774a47838a4ee25d,diagram,200,not_cleared,analyzed_private_cache,420,280,1.000000,0.840,high,yes_review_candidate,95.8,3.2,95.8;1.5;107.1,787,100,1,45,417.8,1.492,2636.0,9.414,0.445,850.340,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
