formation_id,date_iso,place,region,country_code,site_status,us_priority,has_source_images,source_image_count,line_priority,priority_score,next_action,priority_rank
cc_801777bd00f0,2003-07-24,Howell Township,Michigan,US,registered_site,yes,yes,3,3,1130,review_or_register_straight_components,1
cc_8a68d8a0471b,1994-06-14,Aloha [Sunset Hwy.],Oregon,US,registered_site,yes,yes,1,3,1130,review_or_register_straight_components,2
cc_af45ba1f38f5,2003-07-04,Mayville / Kekoskee,Wisconsin,US,registered_site,yes,yes,6,3,1130,review_or_register_straight_components,3
cc_047e71a74cfa,1996-12,"New Lake, Etna Troy Township",Indiana,US,unresolved,yes,yes,1,2,1124,research_exact_field_location,4
cc_1555f77aa04e,2002-08-09,[unknown],New York,US,unresolved,yes,yes,1,2,1124,research_exact_field_location,5
cc_2ff1b6d1753e,1998-05-15,University of Virginia at Charlottesville,Virginia,US,unresolved,yes,yes,1,2,1124,research_exact_field_location,6
cc_56ec690f8c24,1909-05,1909 | Green Lake,,US,unresolved,yes,yes,1,2,1124,research_exact_field_location,7
cc_5b027874443c,1993-06-21,"Vickerman Hill, Columbia Center / Herkimer / Mohawk Valley",New York,US,unresolved,yes,yes,2,2,1124,research_exact_field_location,8
cc_7337f014661c,2003-06-08,Knobel,Alaska,US,unresolved,yes,yes,1,2,1124,research_exact_field_location,9
cc_b5100022bf13,2002-06,[Unknown],Kansas,US,unresolved,yes,yes,1,2,1124,research_exact_field_location,10
cc_d915cc001f31,1990-09-10,Steens Mountain - Mickey Basin - Alvord Desert,Oregon,US,unresolved,yes,yes,7,2,1124,research_exact_field_location,11
cc_eb8ed861eac4,2005-08-18,(Northern),Colorado,US,unresolved,yes,yes,1,2,1124,research_exact_field_location,12
cc_f0f992d92db0,1997-06-28,"Wavra Farm, Salem / Silver Creek Falls",Oregon,US,unresolved,yes,yes,2,2,1124,research_exact_field_location,13
cc_f80686af3388,1974-12-27,[Unknown],Minnesota,US,unresolved,yes,yes,2,2,1124,research_exact_field_location,14
cc_fc1edd54f946,2003-12-17,"Mud Lake, Liberty Township",Michigan,US,unresolved,yes,yes,3,2,1124,research_exact_field_location,15
cc_fd8fecec9605,1992-08-30,Austinberg / Ashtabula,Ohio,US,unresolved,yes,yes,4,2,1124,research_exact_field_location,16
cc_0123e86c92f6,1964-06-17,Cannelton,Indiana,US,locality_reference,yes,yes,2,2,1123,replace_locality_reference_with_field_evidence,17
cc_0adcc32bd749,2004-12-12,Bedford,Indiana,US,locality_reference,yes,yes,2,2,1123,replace_locality_reference_with_field_evidence,18
cc_0d50be88569a,2005-04,Albion,Indiana,US,locality_reference,yes,yes,1,2,1123,replace_locality_reference_with_field_evidence,19
cc_0ed8b56730be,2003-06-28,Rockville (2),California,US,locality_reference,yes,yes,2,2,1123,replace_locality_reference_with_field_evidence,20
cc_0fdb69ce93fa,2005-08-12,Yellow Springs,Ohio,US,locality_reference,yes,yes,5,2,1123,replace_locality_reference_with_field_evidence,21
cc_104e3b95dd75,2002-08-10,Teton,Idaho,US,locality_reference,yes,yes,2,2,1123,replace_locality_reference_with_field_evidence,22
cc_1083b200c52a,1996-10-12,Albion,Illinois,US,locality_reference,yes,yes,7,2,1123,replace_locality_reference_with_field_evidence,23
cc_111e3cdced4f,2002-08-11,Fresno,California,US,locality_reference,yes,yes,1,2,1123,replace_locality_reference_with_field_evidence,24
cc_19598cfe904a,1996-08-08,Watertown,South Dakota,US,locality_reference,yes,yes,2,2,1123,replace_locality_reference_with_field_evidence,25
cc_1b3fe293aab8,1997-07-07,Richmond,Utah,US,locality_reference,yes,yes,1,2,1123,replace_locality_reference_with_field_evidence,26
cc_20d3f6035a13,2003-07-11,Fairfield,California,US,locality_reference,yes,yes,1,2,1123,replace_locality_reference_with_field_evidence,27
cc_21676d452aae,2000-07-24,Langdon,North Dakota,US,locality_reference,yes,yes,2,2,1123,replace_locality_reference_with_field_evidence,28
cc_21af57d1799f,1998-07-10,Washington Township,New Jersey,US,locality_reference,yes,yes,1,2,1123,replace_locality_reference_with_field_evidence,29
