formation_id,assertion_ids,event_date,place,region,country,source_report_urls,source_image_urls,source_image_count,current_location_role,current_latitude,current_longitude,current_coordinate_uncertainty_m,source_coordinate_availability,publisher_map_target_availability,named_geographic_clues,identifiable_persistent_landmarks,source_image_dimensions,display_rights,publication_rights,straight_component_likelihood,priority_score,processing_status,blocker_or_rejection_reason,selected_overlay_id,registration_classification,review_date
cc_3fb745fb7416,iccra_31349f7aca5a4bf2,2004-08-24,Miamisburg,Ohio,United States,"https://iccra.org/bystate/Ohio/ICCRA%20-%20Ohio%20-%20Miamisburg,%20Montgomery%20County%20(August%2024,%202004).htm; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/northamerica2004.html",https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/Corn%20%20Miamisburg%20Mound%20%20Miamisburg%20Ohio%20USA%202004.JPG; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/Miamisburg2004a.jpg; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/Miamisburg4.jpg; https://iccra.org/bystate/Ohio/images/miamisburg.JPG; https://iccra.org/bystate/Ohio/images/miamisburg2004a.jpg; https://iccra.org/bystate/Ohio/images/miamisburg2004b.jpg; https://iccra.org/bystate/Ohio/images/miamisburg2004c.jpg,7,formation_site,39.6201,-84.2705778,20.0,yes,no,Miamisburg; Montgomery County; Ohio; Miamisburg Mound; source-reported formation coordinate,Miamisburg Mound; persistent roads; field boundaries,600x431; 400x319; 555x337; 79x114; 272x395; 354x432; 348x227,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,6191,provisional_registration,,miamisburg-2004-report-coordinate-placement,provisional_registration,2026-07-21
cc_72e3a77239de,iccra_e0848d4a79aae3f5,2005-08-19,Northwood,North Dakota,United States,"https://iccra.org/bystate/North%20Dakota/ICCRA%20-%20ND%20-%20Northwood,%20Grand%20Forks%20County%20(August%2019,%202005).html; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/northamerica2005.html",https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/ND-centerswirl3.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/NDaerial11.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/NDariel13.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/NDlay2.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/clip_image0028.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/ND-aerial2.jpg; https://iccra.org/bystate/North%20Dakota/images/northwood2005a.jpg; https://iccra.org/bystate/North%20Dakota/images/northwood2005b.jpg; https://iccra.org/bystate/North%20Dakota/images/northwood2005c.jpg; https://iccra.org/bystate/North%20Dakota/images/northwood2005d.jpg,10,formation_site,47.7293,-97.596,600.0,no,no,Northwood; Grand Forks County; North Dakota; Northwood Municipal Airport; Vince Field; airport vicinity; local grain elevator,airport runway; road grid; field boundaries,500x375; 555x416; 214x188; 630x484; 640x480; 333x211,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,6125,clues_reviewed,"Official North Dakota 2005 NAIP acquired 2005-07-12 confirms the Northwood Municipal / Vince Field road, runway, drainage, and farmstead context and narrows the source scene to the airport-adjacent field block. The surviving aerial controls are clustered along the drainage and canopy; full-image projective fits are unstable, so no overlay is published.",,,2026-07-22
cc_7cdb63cfe429,iccra_8f83eadb098b0eb6,2003-08-24,Locust Grove / Serpent Mound,Ohio,United States,"https://iccra.org/bystate/Ohio/ICCRA%20-%20Ohio%20-%20Locust%20Grove,%20Adams%20County%20(August%2024,%202003).htm; https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/northamerica2003.html",https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/Serpent%20Mound%20CC%20soybeans%202003%20sent%20to%20Mark%20Fussell.JPG; https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/Soybeans%20Serpent%20Mound%20context%20%20near%20Brush%20Creek%20%20Peebles%20%20Ohio%20USA%202003.JPG; https://iccra.org/bystate/Ohio/images/locustgrove2003a.jpg; https://iccra.org/bystate/Ohio/images/locustgrove2003b.jpg; https://iccra.org/bystate/Ohio/images/locustgrove2003c.jpg; https://iccra.org/bystate/Ohio/images/locustgrove2003d.jpg; https://iccra.org/bystate/Ohio/images/miamisburg.JPG,7,formation_site,39.02236,-83.43575,100.0,no,no,Locust Grove / Serpent Mound; Adams County; Ohio; Locust Grove; Serpent Mound; Ohio 73; Brush Creek; Peebles,Serpent Mound; Brush Creek; persistent road network,600x428; 600x431; 274x261; 274x206; 274x183; 79x114,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,6116,provisional_registration,,serpent-mound-locust-grove-2003-affine-scene-placement,provisional_registration,2026-07-22
cc_ae1b8ee2ae1f,iccra_b9bb80819738fef7,2003-06-28,Rockville (1),California,United States,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(1),%20Solano%20County%20(June%2028,%202003).html; https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/northamerica2003.html",https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/Rockville%20detail1.jpg; https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/Rockville%20prime1.jpg; https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/Rockville%20wideshot.jpg; https://iccra.org/bystate/California/images/rockville2003-1a.jpg; https://iccra.org/bystate/California/images/rockville2003-1b.jpg,5,formation_site,38.242977375075,-122.125294687955,75.0,no,no,Rockville (1); Solano County; California; Rockville 1; Suisun Valley Road; Rockville Road,Rockville Road; Suisun Valley Road; road intersection; field corners,580x384; 287x420; 580x415; 160x227,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,6115,provisional_registration,,rockville-1-2003-landmark-scene-placement,provisional_registration,2026-07-22
cc_cee3a40aace5,iccra_09b17f954c31afbe,2006-06-26,Huntingburg,Indiana,United States,https://iccra.org/bystate/Indiana/ICCRA_IN.htm; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/northamerica2006.html; https://www.earthfiles.com/2006/07/07/anomalies-in-huntingburg-indiana-wheat-pictogram/,https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Huntingburg--closeup-best-B.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/ScreenShot001.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/ScreenShot002.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/ScreenShot003.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/ScreenShot004.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/ScreenShot005.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/image00hun11.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/image00hun22.jpg; https://www.earthfiles.com/wp-content/uploads/2017/09/HuntingburgAirportCircleAerial.jpg,9,formation_site,38.244933468366,-86.961260605935,60.0,no,no,Huntingburg; Dubois County; Indiana; Huntingburg Airport; David Ring wheat field; Dubois County wheat field,roads; field boundaries; farm buildings where visible,500x375; 400x300; 397x295; 397x296; 398x298; 414x466; 432x320,link_only_rights_gated,not_cleared_for_redistribution,unknown,6102,provisional_registration,"The 2006 Earthfiles aerial and official 2005 Indiana orthophoto independently match the Huntingburg Airport runway, hangar row, curving access road, and shielding tree grove. Seven distributed controls resolve one wheat field southwest of the grove; a held-out airport control has a 32.35 metre residual. The low-resolution oblique frame retains 60 metre uncertainty, remains excluded from formal alignment, and is rights-gated. Explicit outcome: provisional_registration.",huntingburg-2006-seven-control-airport-scene-placement,provisional_registration,2026-07-22
cc_2152af98e2d7,iccra_23c2d921613cfda1,2003-09-25,Bainbridge / Paint Creek,Ohio,United States,"https://iccra.org/bystate/Ohio/ICCRA%20-%20Ohio%20-%20Paint%20Creek%20Island,%20Bainbridge,%20Ross%20County%20(September%2025,%202003).htm; https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/northamerica2003.html",https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/Soybeans%20%20Near%20Seip%20Mound%20%20Paint%20Creek%20%20Bainbridge%20Ohio%20USA%202003.JPG; https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/Soybeans%20Near%20Seip%20Mound%20%20Paint%20Creek%20%20Bainbridge%20Ohio%20USA.JPG; https://iccra.org/bystate/Ohio/images/miamisburg.JPG; https://iccra.org/bystate/Ohio/images/paintcreekisland2003a.jpg; https://iccra.org/bystate/Ohio/images/paintcreekisland2003b.jpg; https://iccra.org/bystate/Ohio/images/paintcreekisland2003c.jpg; https://iccra.org/bystate/Ohio/images/paintcreekisland2003d.jpg,7,formation_site,39.2379928,-83.2506799,100.0,no,no,Bainbridge / Paint Creek; Ross County; Ohio; Bainbridge; Paint Creek Island; Seip Earthworks; near Seip Mound; Paint Creek,Seip Earthworks; Paint Creek; persistent road and field boundaries,600x431; 600x429; 79x114; 275x185; 275x184; 268x311; 274x137,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,unknown,6096,provisional_registration,,paint-creek-island-2003-projective-scene-placement,provisional_registration,2026-07-22
cc_24e959df4a14,iccra_33ace4c96a8fd62e,2002-07-26,Naperville,Illinois,United States,"https://iccra.org/bystate/Illinois/ICCRA%20-%20IL%20-%20Naperville,%20Du%20Page%20County%20(July%2026,%202002).html; https://www.cropcirclearchives.co.uk/archives/inter2002/northamerica/Naperville2002a.html",https://www.cropcirclearchives.co.uk/archives/inter2002/northamerica/naperville2002a.jpg; https://iccra.org/bystate/Illinois/images/naperville2002.png,2,formation_site,41.8001875,-88.1294984,75.0,no,no,Naperville; Du Page County; Illinois; Diehl Road; Molex property; Iroquois Club; Steve Berning; Steve Berning farm; Naperville soybean field,Molex campus buildings; property and field boundaries,310x178,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,medium,6086,provisional_registration,,naperville-2002-diehl-road-affine-scene-placement,provisional_registration,2026-07-22
cc_ad68564a4282,iccra_5ad53aa30468a7fb,2004-06-16,Cordelia / Fairfield,California,United States,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Cordelia-Fairfield,%20Solano%20County%20(July%2016,%202004).html; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/northamerica2004.html",https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/Solano2004a.jpg; https://iccra.org/bystate/California/images/cordelia2004a.gif; https://iccra.org/bystate/California/images/cordelia2004b.jpg,3,locality_reference,38.21047,-122.1358,5000.0,no,no,Cordelia / Fairfield; Solano County; California; junction of Cordelia Road and Hale Ranch Road,Cordelia Road; Hale Ranch Road; road junction; field corners,500x323; 275x343; 274x180,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,6049,clues_reviewed,"Official California 2005 NAIP and the public report constrain the event to a pylon-crossed agricultural scene southeast of Fairfield. The only usable source aerial is a tight oblique frame: its two pylon controls are nearly collinear and no defensible distributed third or fourth control survives, so the field match and overlay remain unresolved.",,,2026-07-22
cc_64e65753ca3c,iccra_b6e33099f1f17316,2004-07-24,Cottage Grove,Minnesota,United States,"https://iccra.org/bystate/Minnesota/ICCRA%20-%20MN%20-%20Cottage%20Grove,%20Washington%20County%20(July%2024,%202004).html; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/northamerica2004.html",https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/CG-cropcircles_01.jpg; https://iccra.org/bystate/Minnesota/images/cottagegrove2004.jpg,2,locality_reference,44.82774,-92.94382,5000.0,no,no,Cottage Grove; Washington County; Minnesota; Gene Smallidge farm; private driveway off Highway 61; 10992 Point Douglas Drive South,Highway 61; farm buildings; field boundaries; tree lines,200x150,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,6046,unresolved,"Public reporting and later farm records identify Gene Smallidge's long-term farm at 10992 Point Douglas Drive South, reached by a private driveway off Highway 61 in south Cottage Grove. The formation report says the oats design was about one-half mile from an access point behind a fence, but the only surviving 200 by 150 source photograph is a tight ground view with no persistent surrounding landmarks. The property has multiple plausible fields, so no unique field or defensible image registration is published. Explicit outcome: unresolved.",,,2026-07-22
cc_104e3b95dd75,a_2cff4e3e57d056; iccra_b14c2fc23329b3f3,2002-08-10,Teton,Idaho,United States,"https://iccra.org/bystate/Idaho/ICCRA%20-%20ID%20-%20Teton,%20Teton%20County%20(August%2010,%202002).html; https://www.cropcirclecenter.com/; https://www.cropcirclearchives.co.uk/archives/inter2002/northamerica/Teton2002.html",https://www.cropcirclearchives.co.uk/archives/inter2002/northamerica/idahocropcirclebig.jpg; https://iccra.org/bystate/Idaho/images/teton2002-1a.jpg; https://iccra.org/bystate/Idaho/images/teton2002-1b.png,3,locality_reference,43.88658,-111.67774,5000.0,no,no,Teton; Teton County; Idaho; approximately 20 miles south of Teton City; Bryon Parker; Richard Nielsen,field and road pattern south of Teton City,600x425; 300x170; 432x236,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,6034,source_image_acquired,,,,2026-07-22
