assertion_id,source_name,source_url,source_record_url,retrieved_at,source_page,source_slot,year,month,day,date_iso,date_precision,date_qualifier,place,region,country,country_code,county,crop,size_text,classification,thumbnail_url,notes,index_kinds,index_urls,index_labels,index_occurrence_count,record_url_aliases,detail_http_status,detail_sha256,detail_cache_path,detail_title,latitude,longitude,has_actual_coordinate_pair,coordinate_method,coordinate_uncertainty,coordinate_uncertainty_km,coordinate_confidence,coordinate_source_url,coordinate_evidence,coordinate_context,orientation_evidence,rights_evidence,image_count,image_urls,map_diagram_urls,expansion_source_id,source_listing_text,alternate_place,canonical_match_status,matched_baseline_assertion_id,rights_scope,parser_version
a_edd06cf0470766,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,1,815,,,0815,year,,Lyon,Métropole de Lyon,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_005537294dd128,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,2,1590,5,18,1590-05-18,day,,Assen,Drenthe,Netherlands,NL,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_64e9556dba0100,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,3,1633,,,1633,year,,,Wiltshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_711fe316649121,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,4,1678,8,22,1678-08-22,day,,,Hertfordshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_897e1e7e7812d3,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,5,1686,,,1686,year,,,Staffordshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_fe7a60ff52f322,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,6,1847,,,1847,year,,,,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_9dcc46ad4a1373,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,7,1871,10,4,1871-10-04,day,,High Wycombe,Buckinghamshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_7687ffb035264a,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,8,1879,,,1879,year,,,Zulu,South Africa,ZA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_fbd32c3286bfe2,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,9,1880,7,21,1880-07-21,day,,Guildford,Surrey,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_818734bbe35602,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,10,1880,7,,1880-07,month,,East Kent,Ontario,Canada,CA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
