assertion_id,source_name,source_url,source_record_url,retrieved_at,source_page,source_slot,year,month,day,date_iso,date_precision,date_qualifier,place,region,country,country_code,county,crop,size_text,classification,thumbnail_url,notes,expansion_source_id,source_listing_text,alternate_place,canonical_match_status,matched_baseline_assertion_id,rights_scope,parser_version
sx_dcca_a63f7f4d47b8510a,Dutch Crop Circle Archive,https://www.dcca.nl/1993/1993-uk.htm,https://www.dcca.nl/1993/uk28.htm,2026-07-21,https://www.dcca.nl/1993/1993-uk.htm,3,1993,7,11,1993-07-11,day,,Ubachsberg,Limburg,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Ubachsberg, Limburg, 11-07-1993",,exact_overlap,a_e8aff82262621a,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_038b8488fb4d9fd7,Dutch Crop Circle Archive,https://www.dcca.nl/1993/1993-uk.htm,https://www.dcca.nl/1993/uk25.htm,2026-07-21,https://www.dcca.nl/1993/1993-uk.htm,1,1993,7,13,1993-07-13,day,,Bunne,Drenthe,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Bunne, Drenthe, 13-07-1993",,probable_overlap_not_merged,a_26a11f8feb50d0,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_e3c2229a9dda7424,Dutch Crop Circle Archive,https://www.dcca.nl/1993/1993-uk.htm,https://www.dcca.nl/1993/uk26.htm,2026-07-21,https://www.dcca.nl/1993/1993-uk.htm,2,1993,7,26,1993-07-26,day,,Houthem,Limburg,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Houthem, Limburg, 26-07-1993",,exact_overlap,a_40b2fbb9f887e9,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_c32f473246ec47b4,Dutch Crop Circle Archive,https://www.dcca.nl/1994/1994-uk.htm,https://www.dcca.nl/1994/uk3.htm,2026-07-21,https://www.dcca.nl/1994/1994-uk.htm,3,1994,7,19,1994-07-19,day,,Almere,Flevoland,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Almere, Flevoland, 19-07-1994",,exact_overlap,a_6b346f5d28cd11,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_009bc27acc32c0f0,Dutch Crop Circle Archive,https://www.dcca.nl/1994/1994-uk.htm,https://www.dcca.nl/1994/uk4.htm,2026-07-21,https://www.dcca.nl/1994/1994-uk.htm,4,1994,7,22,1994-07-22,day,,Zierikzee,Zeeland,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Zierikzee, Zeeland, 22-07-1994",,exact_overlap,a_dd2d113d02a692,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_64015f8032b91a8b,Dutch Crop Circle Archive,https://www.dcca.nl/1994/1994-uk.htm,https://www.dcca.nl/1994/uk5.htm,2026-07-21,https://www.dcca.nl/1994/1994-uk.htm,5,1994,7,24,1994-07-24,day,,Zoelmond,Gelderland,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Zoelmond, Gelderland, 24-07-1994",,exact_overlap,a_4524578ea2f346,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_2bb11c722cf83d19,Dutch Crop Circle Archive,https://www.dcca.nl/1994/1994-uk.htm,https://www.dcca.nl/1994/uk6.htm,2026-07-21,https://www.dcca.nl/1994/1994-uk.htm,6,1994,7,25,1994-07-25,day,,Hendrik Ido Ambacht,Zuid Holland,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Hendrik Ido Ambacht, Zuid Holland, 25-07-1994",,exact_overlap,a_1b79b9e64096ed,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_f48312c892f8f60d,Dutch Crop Circle Archive,https://www.dcca.nl/1994/1994-uk.htm,https://www.dcca.nl/1994/uk7.htm,2026-07-21,https://www.dcca.nl/1994/1994-uk.htm,7,1994,7,25,1994-07-25,day,,Kruiningen,Zeeland,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Kruiningen, Zeeland, 25-07-1994",,exact_overlap,a_bbbdb33429cd74,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_e364e0fa188229fa,Dutch Crop Circle Archive,https://www.dcca.nl/1994/1994-uk.htm,https://www.dcca.nl/1994/uk8.htm,2026-07-21,https://www.dcca.nl/1994/1994-uk.htm,8,1994,7,27,1994-07-27,day,,Serooskerke,Zeeland,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Serooskerke, Zeeland, 27-07-1994",,probable_overlap_not_merged,a_7f308cb0dc9814,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
sx_dcca_298087e42cb07df3,Dutch Crop Circle Archive,https://www.dcca.nl/1994/1994-uk.htm,https://www.dcca.nl/1994/uk1.htm,2026-07-21,https://www.dcca.nl/1994/1994-uk.htm,1,1994,7,5,1994-07-05,day,,Zierikzee,Zeeland,Netherlands,NL,,,,unreviewed,,Metadata-only index assertion; source images and article text are not redistributed.,dcca,"Zierikzee, Zeeland, 05-07-1994",,exact_overlap,a_cc1c74d9a452fa,metadata_only_with_source_attribution; publication particulars require contact,source-expansion-v1
