candidate_id,assertion_id,source_name,source_page,source_slot,year,month,day,date_iso,place,region,country,country_code,crop_box_px,page_width_px,page_height_px,diagram_status,straight_component_tier,straight_component_candidate,detector_score,dominant_axis_image_deg,axis_uncertainty_deg,axis_candidates_image_deg,line_segment_count,max_segment_length_px,dominant_support_length_px,dominant_support_fraction,ink_pixels,mid_gray_pixels,dark_to_mid_ratio,dark_component_count,largest_dark_component_px,axis_reference,geographic_azimuth_qualified,caveat,detector_version,source_pdf_sha256
sc_daa1e279ec9909b3,a_edd06cf0470766,Crop Circle Center PDF catalog,1,1,815,,,0815,Lyon,Métropole de Lyon,France,FR,"0,10,320,230",1241,1754,no_diagram,none,no,0.000,,,,2,16.3,32.5,1.000,810,2787,0.291,72,42,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_9b5efc960d2fda62,a_005537294dd128,Crop Circle Center PDF catalog,1,2,1590,5,18,1590-05-18,Assen,Drenthe,Netherlands,NL,"300,10,631,230",1241,1754,diagram,none,no,0.422,103.0,2.8,103.0;33.6;149.2;58.8,13,30.9,70.6,0.229,1331,1404,0.948,1,1331,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_19202b81e6ec8675,a_64e9556dba0100,Crop Circle Center PDF catalog,1,3,1633,,,1633,,Wiltshire,England,GB,"610,10,941,230",1241,1754,no_diagram,none,no,0.000,,,,2,16.3,32.5,1.000,839,2911,0.288,70,50,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_bed342c981fb2fe0,a_711fe316649121,Crop Circle Center PDF catalog,1,4,1678,8,22,1678-08-22,,Hertfordshire,England,GB,"921,10,1241,230",1241,1754,diagram,none,no,0.374,153.1,2.0,153.1;14.9;62.0;121.6,21,28.5,73.3,0.159,2188,2286,0.957,2,1380,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_b0b3bcd8882a3b97,a_897e1e7e7812d3,Crop Circle Center PDF catalog,1,5,1686,,,1686,,Staffordshire,England,GB,"0,340,320,560",1241,1754,diagram,none,no,0.367,106.0,0.4,106.0;55.4;29.2;143.9,9,26.1,50.2,0.242,4147,4190,0.990,1,4147,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_7768100c4c9acee9,a_fe7a60ff52f322,Crop Circle Center PDF catalog,1,6,1847,,,1847,,,United States,US,"300,340,631,560",1241,1754,diagram,none,no,0.366,102.7,1.0,102.7;26.8;60.7;152.2,9,27.4,48.8,0.231,4149,4190,0.990,1,4149,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_e2980197a7df2786,a_9dcc46ad4a1373,Crop Circle Center PDF catalog,1,7,1871,10,4,1871-10-04,High Wycombe,Buckinghamshire,England,GB,"610,340,941,560",1241,1754,diagram,none,no,0.275,168.9,0.0,168.9;118.2;62.8;150.8,8,27.0,27.0,0.144,4150,4187,0.991,1,4150,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_0ff3f3a5f1455daf,a_7687ffb035264a,Crop Circle Center PDF catalog,1,8,1879,,,1879,,Zulu,South Africa,ZA,"921,340,1241,560",1241,1754,diagram,high,yes,0.936,44.9,0.5,44.9;135.0;20.2;154.1,57,116.7,488.8,0.238,5659,5981,0.946,5,1867,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_7536d5604fb3ce02,a_fbd32c3286bfe2,Crop Circle Center PDF catalog,1,9,1880,7,21,1880-07-21,Guildford,Surrey,England,GB,"0,670,320,890",1241,1754,no_diagram,none,no,0.000,,,,2,16.3,32.5,1.000,813,2795,0.291,70,47,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_6fefe3e033c790bd,a_818734bbe35602,Crop Circle Center PDF catalog,1,10,1880,7,,1880-07,East Kent,Ontario,Canada,CA,"300,670,631,890",1241,1754,diagram,none,no,0.303,114.9,0.0,114.9;65.7;168.1;147.5,8,30.2,30.2,0.153,4148,4189,0.990,1,4148,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
